"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
redcap_id,informed_consent,,text,"REDCap ID",,,,,,,,,,,,,
informedconsent_2,informed_consent,,text,"Visit Date",,,date_mdy,,,,,,,,,,
informedconsent_3,informed_consent,,yesno,"Is the Informed Consent Signed by Patient?",,,,,,,,,,,,,
informedconsent_4,informed_consent,,yesno,"Is the Informed Consent Signed by Investigator?",,,,,,,,,,,,,
informedconsent_5,informed_consent,,yesno,"Were All Informed Consent Pages Initialed?",,,,,,,,,,,,,
curr_visit_date,visit_date,,text,"Current Visit Date",,,date_mdy,,,,,y,,,,,
first_visit_date,visit_date,,text,"First Visit Date",,,date_mdy,,,,,,,,,,
followup_dur,visit_date,,calc,"Duration of Follow-Up (days)","datediff([curr_visit_date], [first_visit_date], ""d"", 'mdy')",,,,,,,y,,,,,
inc_exc_1,inclusionexclusion,,checkbox,"Inclusion Criteria","1, Diagnosis of Parkinson's disease by UK Brain Bank criteria | 2, Age 40-90 years | 3, English as primary language",,,,,,,,,,,,
inc_exc_2,inclusionexclusion,,checkbox,"Exclusion Criteria","1, Active or severe depression | 2, Atypical or secondary parkinsonism (i.e. MSA, PSP, CBD, LBD, vascular parkinsonism) | 3, Co-morbid neurologic conditions (i.e. MS, epilepsy, major TBI)",,,,,,,,,,,,
inc_exc_3,inclusionexclusion,,yesno,"Patient eligible?",,,,,,,,,,,,,
inc_exc_4,inclusionexclusion,,notes,Notes,,,,,,,,,,,,,
demo_dob,demographics,,text,"1. Date of Birth",,,date_mdy,,,y,,,,,,,
demo_age,demographics,,text,"Age (years)",,,,,,,,,,,,,
demo_sex,demographics,,radio,"2. Sex/Gender","0, Female | 1, Male",,,,,,,,,,,,
demo_race,demographics,,checkbox,"3. Race/Ethnicity","1, 1 American Native/Indian | 2, 2 Asian | 3, 3 Black/African-American | 4, 4 Caucasian | 5, 5 Hawaiian or Pacific Islander | 6, 6 Hispanic | 7, 7 Other or Mixed",,,,,,,,,,,,
demo_race_other,demographics,,text,"If other, please describe:",,,,,,,,,,,,,
demo_educ,demographics,,radio,"4. Years of education","0, 1 None - no formal schooling | 1, 2 Grade 1-11 | 2, 3 Grade 12, but no diploma | 3, 4 High school diploma | 4, 5 GED or other alternative credential | 5, 6 Some college, but no degree | 6, 7 Associate's degree | 7, 8 Bachelor's degree | 8, 9 More than 4-year college degree",,,,,,,,,,,,
demo_edunum,demographics,,text,"Total years of education",,,number,,,,,,,,,,
demo_employ,demographics,,radio,"5. Employment Status","0, Employed | 1, Unemployed | 2, Retired",,,,,,,,,,,,
demo_handed,demographics,,radio,"6. Handedness","0, Ambidextrous | 1, Left | 2, Right",,,,,,,,,,,,
demo_disdur,demographics,,text,"7. Disease Duration (in years)",,,number,,,,,,,,,,
meds_dbs,baseline_meds,,radio,DBS?,"0, No | 1, Yes",,,,,,,,,,,,
meds_1,baseline_meds,,text,"1. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_4,baseline_meds,,text,"2. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_5,baseline_meds,,text,"3. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_6,baseline_meds,,text,"4. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_7,baseline_meds,,text,"5. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_8,baseline_meds,,text,"6. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_9,baseline_meds,,text,"7. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_10,baseline_meds,,text,"8. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_11,baseline_meds,,text,"9. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_12,baseline_meds,,text,"10. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_13,baseline_meds,,text,"11. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_14,baseline_meds,,text,"12. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_15,baseline_meds,,text,"13. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_16,baseline_meds,,text,"14. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_17,baseline_meds,,text,"15. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_18,baseline_meds,,text,"16. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_19,baseline_meds,,text,"17. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_20,baseline_meds,,text,"18. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_21,baseline_meds,,text,"19. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
meds_22,baseline_meds,,text,"20. Prescribed medication/supplement and dosage",,,,,,,,,,,,,
medsnote,baseline_meds,,notes,Notes:,,,,,,,,,,,,,
scd_1,subjective_cognitive_complaints,,yesno,"Do you feel your thinking and/or memory has declined over the past year?",,,,,,,,,,,,,
scd_2,subjective_cognitive_complaints,,radio,"How would you rate your memory compared to other people your same age?","0, Better | 1, The same | 2, Worse | 3, Much worse",,,,,,,,,,,,
scd_3,subjective_cognitive_complaints,,radio,"How would you rate your memory compared to yourself 20 years ago?","0, Better | 1, The same | 2, Worse | 3, Much worse",,,,,,,,,,,,
ledd,levodopa_equivalent_daily_dose,,text,"LEDD (mg)",,,number,,,,,,,,,,
diag_park,uk_pd_brain_bank_criteria,,checkbox,"1. Diagnosis of Parkinsonism ","0, Bradykinesia | 1, Muscular rigidity | 2, 4-6 Hz resting tremor | 3, Postural instability",,,,,,,,,,,,
diag_exclusion,uk_pd_brain_bank_criteria,,checkbox,"2. Patient to be excluded from the study due to one or more of the following complications (check all that apply) ","1, Stroke | 2, Repeated head injury | 3, History of encephalitis | 4, Supranuclear gaze palsy | 5, Oculogyric crises | 6, Early severe dementia | 7, Cerebellar signs | 8, Neuroleptic treatment | 9, More than one affected relative | 10, Sustained remission | 11, Early severe autonomic involvement | 12, Babinski sign | 13, Severe autonomic involvement | 15, Unilateral features after 3 years | 16, Other",,,,,,,,,,,,
diag_inclusion,uk_pd_brain_bank_criteria,,yesno,"3. Recommend patient to be included in the study?",,,,,,,,,,,,,
inclusion_notes,uk_pd_brain_bank_criteria,,notes,Notes,,,,,,,,,,,,,
hy,hoehn_and_yahr,,radio,"Hoehn and Yahr","1, Stage 0 = No signs of disease | 2, Stage 1 = Unilateral disease | 3, Stage 1.5 = Unilateral plus axial involvement | 4, Stage 2 = Bilateral disease, without impairment of balance. | 5, Stage 2.5 = Mild bilateral disease, with recovery on pull test | 6, Stage 3 = Mild to moderate bilateral disease; some postural instability; physically independent | 7, Stage 4 = Severe disability; still able to walk or stand unassisted | 8, Stage 5 = Wheelchair bound or bedridden unless aided",,,,,,,,,,,,
upsa_date,upsa2,,text,"Date Performed",,,date_mdy,,,,,,,,,,
upsa_examiner,upsa2,,radio,"UPSA Examiner","0, LM | 1, SH | 2, BW | 3, AS | 4, Other",,,,,,,,,,,,
upsa_fin,upsa2,,text,"Financial Skills Sub-scale Score",,,number,0,20,,,,,,,,
upsa_comm,upsa2,,text,"Communication Skills Sub-scale Score",,,number,0,20,,,,,,,,
upsa_comp_plan,upsa2,,text,"Comprehension and Planning Sub-scale Score",,,number,0,20,,,,,,,,
upsa_trans,upsa2,,text,"Transportation Sub-scale Score",,,number,0,20,,,,,,,,
upsa_house_manage,upsa2,,text,"Household Management Sub-scale Score",,,number,0,20,,,,,,,,
upsa_totalscore,upsa2,,text,"UPSA-2 Total Score",,,integer,0,100,,,,,,,,
qualupsa_1,qualitative_opinion_of_upsa,,notes,"1. How do you think you performed on the UPSA test?",,,,,,,,,,,,,
qualupsa_2,qualitative_opinion_of_upsa,,notes,"2. Do you think that this test evaluated your regular daily activities well?",,,,,,,,,,,,,
qualupsa_3,qualitative_opinion_of_upsa,,notes,"3. What kind of other activities should we have tested to see if you are having trouble with your thinking and memory on a daily basis?",,,,,,,,,,,,,
lawton_1,lawton_iadls,,radio,"A. Ability to use telephone","0, 1 Operates telephone on own initiative | 1, 1 Dials a few well-known numbers | 2, 1 Answers telephone but does not dial | 3, 0 Does not use telephone at all",,,,,,,,,,,,
lawton_2,lawton_iadls,,radio,"B. Shopping","0, 1 Takes care of all shopping needs independently | 1, 0 Shops independently for small purchases | 2, 0 Needs to be accompanied on any shopping trip | 3, 0 Completely unable to shop",,,,,,,,,,,,
lawton_3,lawton_iadls,,radio,"C. Food preparation","0, 1 Plans, prepares and serves adequate meals independently | 1, 0 Prepares adequate meals if supplied with ingredients | 2, 0 Heats and serves prepared meals, or prepares meals but does not maintain adequate diet | 3, 0 Needs to have meals prepared and served",,,,,,,,,,,,
lawton_4,lawton_iadls,,radio,"D. Housekeeping","0, 1 Maintains house alone or with occasional assistance | 1, 1 Performs light daily tasks such as dish washing, bed making | 2, 1 Performs light daily tasks but cannot maintain acceptable level of cleanliness | 3, 1 Needs helps with all home maintenance tasks | 4, 0 Does not participate in any housekeeping tasks",,,,,,,,,,,,
lawton_5,lawton_iadls,,radio,"E. Laundry","0, 1 Does personal laundry completely | 1, 1 Launders small items | 2, 0 All laundry must be done by others",,,,,,,,,,,,
lawton_6,lawton_iadls,,radio,"F. Mode of transportation","0, 1 Travels independently on public transportation or drives own car | 1, 1 Arranges own travel via taxi, but does not otherwise use public tranport | 2, 1 Travels on public transport when assisted or accompanied by other | 3, 0 Travel limited to taxi or car with assistance of another | 4, 0 Does not travel at all",,,,,,,,,,,,
lawton_7,lawton_iadls,,radio,"G. Responsibility for own medications","0, 1 Responsible for taking medication in correct dosages at correct time | 1, 0 Takes responsibility if medication is prepared in advance in separate dosages | 2, 0 Not capable of dispensing own medication",,,,,,,,,,,,
lawton_8,lawton_iadls,,radio,"H. Ability to handle finances","0, 1 Manages financial matters independently, collects and keeps track of income | 1, 1 Manages day-to-day purchases, but needs help with banking, major purchases | 2, 0 Incapable of handling money",,,,,,,,,,,,
lawton_total,lawton_iadls,,text,"Lawton iADL total score",,,number,0,8,,,,,,,,
pdaq_1,pdaq,,radio,"1. Because of the Parkinson's Disease, how much DIFFICULTY do you currently havereading the newspaper or magazine?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_2,pdaq,,radio,"2. How much DIFFICULTY do you currently have keeping track of time (e.g. using aclock)?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_3,pdaq,,radio,"3. How much DIFFICULTY do you currently have counting the correct amount of moneywhen making purchases?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_4,pdaq,,radio,"4. How much DIFFICULTY do you currently have reading and following complex instructions (e.g. directions for a new medication)?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_5,pdaq,,radio,"5. How much DIFFICULTY do you currently have handling an unfamiliar problem (e.g. getting the refrigerator fixed)?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_6,pdaq,,radio,"6. How much DIFFICULTY do you currently have explaining how to do something involvingseveral steps to another person?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_7,pdaq,,radio,"7. How much DIFFICULTY do you currently have remembering a list of 4 or 5 errandswithout writing it down?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_8,pdaq,,radio,"8. How much DIFFICULTY do you currently have using a map to tell where to go?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_9,pdaq,,radio,"9. How much DIFFICULTY do you currently have remembering new information like phone numbers or simple instructions?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_10,pdaq,,radio,"10. How much DIFFICULTY do you currently have doing more than one thing at a time?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_11,pdaq,,radio,"11. How much DIFFICULTY do you currently have learning to use new gadgets or machines around the house?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_12,pdaq,,radio,"12. How much DIFFICULTY do you currently have understanding your personal financial affairs?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_13,pdaq,,radio,"13. How much DIFFICULTY do you currently have maintaining or completing a train of thought?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_14,pdaq,,radio,"14. How much DIFFICULTY do you currently have discussing a TV show, book, movie, or current events?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_15,pdaq,,radio,"15. How much DIFFICULTY do you currently have remembering what day and month it is?","1, 4 None | 2, 3 A little | 3, 2 Somewhat | 4, 1 A lot | 5, 0 Cannot do",,,,,,,,,,,,
pdaq_total,pdaq,,text,"PDAQ Total Score",,,number,0,60,,,,,,,,
pdcfrs_1,pdcfrs,,radio,"1. Have you had any trouble handling your own money? ","1, 0 No | 2, 1 Some of the time | 3, 2 Most of the time | 4, 8 Never did this activity in the past",,,,,,,,,,,,
pdcfrs_2,pdcfrs,,radio,"2. Have you had trouble handling the domestic economy? ","1, 0 No | 2, 1 Some of the time | 3, 2 Most of the time | 4, 8 Never did this activity in the past",,,,,,,,,,,,
pdcfrs_3,pdcfrs,,radio,"3. Have you had trouble arranging your holidays or meeting with family or friends?","1, 0 No | 2, 1 Some of the time | 3, 2 Most of the time | 4, 8 Never did this activity in the past",,,,,,,,,,,,
pdcfrs_4,pdcfrs,,radio,"4. Have you had trouble handling the personal mail, doctor appointments or bills?","1, 0 No | 2, 1 Some of the time | 3, 2 Most of the time | 4, 8 Never did this activity in the past",,,,,,,,,,,,
pdcfrs_5,pdcfrs,,radio,"5. Have you had trouble controlling doses and the time you have to take his/her own medicines?","1, 0 No | 2, 1 Some of the time | 3, 2 Most of the time | 4, 8 Never did this activity in the past",,,,,,,,,,,,
pdcfrs_6,pdcfrs,,radio,"6. Have you had trouble in organizing your daily activities?","1, 0 No | 2, 1 Some of the time | 3, 2 Most of the time | 4, 8 Never did this activity in the past",,,,,,,,,,,,
pdcfrs_7,pdcfrs,,radio,"7. Recently, have you had any difficulty in understanding how to handle the home electrical appliances?","1, 0 No | 2, 1 Some of the time | 3, 2 Most of the time | 4, 8 Never did this activity in the past",,,,,,,,,,,,
pdcfrs_8,pdcfrs,,radio,"8. Have you had trouble knowing how to use public transport to get to a specific place?","1, 0 No | 2, 1 Some of the time | 3, 2 Most of the time | 4, 8 Never did this activity in the past",,,,,,,,,,,,
pdcfrs_9,pdcfrs,,radio,"9. Have you had problems solving unforeseen events?","1, 0 No | 2, 1 Some of the time | 3, 2 Most of the time | 4, 8 Never did this activity in the past",,,,,,,,,,,,
pdcfrs_10,pdcfrs,,radio,"10. Have you have trouble explaining the things you want to say?","1, 0 No | 2, 1 Some of the time | 3, 2 Most of the time | 4, 8 Never did this activity in the past",,,,,,,,,,,,
pdcfrs_11,pdcfrs,,radio,"11. Have you had trouble in understanding the things you read: books, magazines or the newspaper?","1, 0 No | 2, 1 Some of the time | 3, 2 Most of the time | 4, 8 Never did this activity in the past",,,,,,,,,,,,
pdcfrs_12,pdcfrs,,radio,"12. Have you had trouble understanding how to handle the cell phone?","1, 0 No | 2, 1 Some of the time | 3, 2 Most of the time | 4, 8 Never did this activity in the past",,,,,,,,,,,,
pdcfrs_total,pdcfrs,,text,"PD-CFRS Total Score",,,number,0,24,,,,,,,,
updrs_1,updrs_part_iii_motor_examination,,radio,"1. Intellectual impairment","0, 0 None | 1, 1 Mild | 2, 2 Moderate | 3, 3 Severe with disorientation to time | 4, 4 Severe, oriented to person only",,,,,,,,,,,,
updrs_2,updrs_part_iii_motor_examination,,radio,"2. Thought disorder","0, 0 None | 1, 1 Vivid dreaming | 2, 2 ""Benign"" hallucinations | 3, 3 Occasional to frequent | 4, 4 Persistent",,,,,,,,,,,,
updrs_3,updrs_part_iii_motor_examination,,radio,"3. Depression","0, 0 None | 1, 1 Periods of sadness | 2, 2 Sustained depression | 3, 3 Sustained depression with vegetative symptoms | 4, 4 Sustained depression with SI",,,,,,,,,,,,
updrs_4,updrs_part_iii_motor_examination,,radio,"4. Motivation/Initiative","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
updrs_i_tot,updrs_part_iii_motor_examination,,text,"UPDRS Part 1: Mentation, Behavior, and Mood Total Score",,,integer,0,16,,,,,,,,
updrs_5,updrs_part_iii_motor_examination,,radio,"5. Speech","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
updrs_6,updrs_part_iii_motor_examination,,radio,"6. Salivation","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
updrs_7,updrs_part_iii_motor_examination,,radio,"7. Swallowing","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
updrs_8,updrs_part_iii_motor_examination,,radio,"8. Handwriting","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
updrs_9,updrs_part_iii_motor_examination,,radio,"9. Cutting Food and Handling Utensils","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
updrs_10,updrs_part_iii_motor_examination,,radio,"10. Dressing","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
updrs_11,updrs_part_iii_motor_examination,,radio,"11. Hygiene","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
updrs_12,updrs_part_iii_motor_examination,,radio,"12. Adjusting in Bed and Adjusting Bed Clothes","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,,,
